"Apptrian Extensions","Apptrian Extensions"
"Info","Info"
"Pinterest Pixel","Pinterest Pixel"
"About","About"
"General","General"
"Enabled","Enabled"
"Enables or disables extension.","Enables or disables extension."
"Pinterest Pixel ID","Pinterest Pixel ID"
"Your Pinterest Pixel ID.","Your Pinterest Pixel ID."
"Product Parameters to Attributes Mapping","Product Parameters to Attributes Mapping"
"If you want to add custom parameters to products. Please see a tooltip.","If you want to add custom parameters to products. Please see a tooltip."
"Example: pcat=pcat|pbrand=brand<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Pinterest Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign.","Example: pcat=pcat|pbrand=brand<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Pinterest Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign."
"Product Parameters to Attributes Mapping (Order Items)","Product Parameters to Attributes Mapping (Order Items)"
"If you want to add custom parameters to order items. Please see a tooltip.","If you want to add custom parameters to order items. Please see a tooltip."
"Product Parameters to Attributes Mapping is not valid.","Product Parameters to Attributes Mapping is not valid."
"Please correct Pinterest Pixel ID: ""%1"".","Please correct Pinterest Pixel ID: ""%1""."
